Weight class,fighter1,fighter2,outcome,F1_Str,F2_Str,F1_Td,F2_Td,F1_Kd,F2_Kd,F1_Sub,F2_Sub
Flyweight,Ode Osbourne,CJ Vergara,fighter1,79,93,1,0,0,0,0,0
Light Heavyweight,Glover Teixeira,Jan Blachowicz,fighter1,23,28,2,0,0,0,2,0
Bantamweight,Petr Yan,Cory Sandhagen,fighter1,149,169,0,1,1,0,1,0
Lightweight,Islam Makhachev,Dan Hooker,fighter1,2,4,1,0,0,0,2,0
Heavyweight,Alexander Volkov,Marcin Tybura,fighter1,75,58,0,0,0,0,0,0
Welterweight,Khamzat Chimaev,Li Jingliang,fighter1,25,0,1,0,0,0,3,0
Light Heavyweight,Magomed Ankalaev,Volkan Oezdemir,fighter1,66,48,1,0,1,0,0,0
Women's Strawweight,Amanda Ribas,Virna Jandiroba,fighter1,88,50,1,1,0,1,1,0
Featherweight,Zubaira Tukhugov,Ricardo Ramos,fighter1,77,68,2,0,0,0,0,0
Middleweight,Albert Duraev,Roman Kopylov,fighter1,71,42,1,1,0,1,1,0
Welterweight,Elizeu Zaleski dos Santos,Benoit Saint Denis,fighter1,149,67,0,2,0,0,0,0
Light Heavyweight,Michal Oleksiejczuk,Shamil Gamzatov,fighter1,32,35,0,0,1,0,0,0
Featherweight,Lerone Murphy,Makwan Amirkhani,fighter1,4,4,0,5,1,0,0,0
Middleweight,Andre Petroski,Hu Yaozong,fighter1,72,25,4,0,0,0,6,0
Flyweight,Tagir Ulanbekov,Allan Nascimento,fighter1,18,25,4,0,0,0,1,2
Light Heavyweight,Marvin Vettori,Paulo Costa,fighter1,190,163,1,1,0,0,0,0
Lightweight,Grant Dawson,Ricky Glenn,Draw,24,28,3,0,0,0,0,1
Women's Bantamweight,Jessica-Rose Clark,Joselyne Edwards,fighter1,18,30,5,0,0,0,0,0
Featherweight,Alex Caceres,SeungWoo Choi,fighter1,46,33,0,0,0,1,1,0
Welterweight,Francisco Trinaldo,Dwight Grant,fighter1,36,31,1,1,0,0,0,0
Light Heavyweight,Nicolae Negumereanu,Ike Villanueva,fighter1,11,7,0,0,0,0,0,0
Middleweight,Gregory Rodrigues,JunYong Park,fighter1,68,56,2,0,0,0,0,0
Lightweight,Mason Jones,David Onama,fighter1,87,90,8,0,0,0,0,0
Women's Strawweight,Tabatha Ricci,Maria Oliveira,fighter1,62,66,5,0,0,0,0,0
Middleweight,Jamie Pickett,Laureano Staropoli,fighter1,47,25,2,1,0,0,0,0
Lightweight,Jai Herbert,Khama Worthy,fighter1,24,11,0,0,1,0,0,0
Flyweight,Jeff Molina,Daniel Lacerda,fighter1,47,20,0,0,1,0,0,0
Women's Strawweight,Randa Markos,Livinha Souza,fighter1,65,11,0,3,0,0,0,2
Bantamweight,Jonathan Martinez,Zviad Lazishvili,fighter1,92,63,0,0,0,0,0,0
Women's Featherweight,Norma Dumont,Aspen Ladd,fighter1,65,33,1,0,0,0,0,0
Heavyweight,Andrei Arlovski,Carlos Felipe,fighter1,83,73,0,0,0,0,0,0
Lightweight,Jim Miller,Erick Gonzalez,fighter1,32,14,1,1,1,0,0,0
Women's Flyweight,Manon Fiorot,Mayra Bueno Silva,fighter1,91,48,2,0,0,0,0,0
Featherweight,Nate Landwehr,Ludovit Klein,fighter1,71,42,1,0,0,0,2,0
Middleweight,Bruno Silva,Andrew Sanchez,fighter1,70,33,0,7,0,0,0,0
Welterweight,Danny Roberts,Ramazan Emeev,fighter1,34,40,1,2,0,0,0,1
Women's Flyweight,Luana Carolina,Loopy Godinez,fighter1,53,23,0,2,0,0,0,0
Bantamweight,Batgerel Danaa,Brandon Davis,fighter1,22,7,0,0,1,0,0,0
Women's Strawweight,Ariane Carnelossi,Istela Nunes,fighter1,36,62,5,0,0,0,1,0
Women's Strawweight,Marina Rodriguez,Mackenzie Dern,fighter1,144,49,0,1,0,0,1,1
Welterweight,Randy Brown,Jared Gooden,fighter1,115,81,0,0,0,0,0,0
Flyweight,Matheus Nicolau,Tim Elliott,fighter1,64,70,1,1,0,0,0,0
Women's Flyweight,Mariya Agapova,Sabina Mazo,fighter1,93,62,0,0,1,0,1,0
Bantamweight,Chris Gutierrez,Felipe Colares,fighter1,96,41,0,1,0,0,0,0
Heavyweight,Alexandr Romanov,Jared Vanderaa,fighter1,56,13,5,0,0,0,0,0
Featherweight,Damon Jackson,Charles Rosa,fighter1,41,34,6,2,0,0,2,0
Women's Strawweight,Loopy Godinez,Silvana Gomez Juarez,fighter1,11,3,5,0,0,0,1,0
Lightweight,Steve Garcia,Charlie Ontiveros,fighter1,34,7,3,0,0,2,0,0
Light Heavyweight,Thiago Santos,Johnny Walker,fighter1,44,48,0,0,0,0,0,0
Middleweight,Kevin Holland,Kyle Daukaus,No contest,3,9,0,1,0,0,0,3
Welterweight,Niko Price,Alex Oliveira,fighter1,64,65,1,1,0,0,0,0
Middleweight,Krzysztof Jotko,Misha Cirkunov,fighter1,41,41,1,5,0,0,0,0
Lightweight,Alexander Hernandez,Mike Breeden,fighter1,20,6,0,0,1,0,0,0
Lightweight,Jared Gordon,Joe Solecki,fighter1,51,38,1,4,0,0,0,0
Women's Flyweight,Casey O'Neill,Antonina Shevchenko,fighter1,52,40,3,0,0,0,0,0
Women's Bantamweight,Karol Rosa,Bethe Correia,fighter1,125,62,0,0,0,0,0,0
Lightweight,Jamie Mullarkey,Devonte Smith,fighter1,55,29,1,0,1,0,0,0
Bantamweight,Douglas Silva de Andrade,Gaetano Pirrello,fighter1,10,5,0,0,1,0,0,0
Women's Bantamweight,Stephanie Egger,Shanna Young,fighter1,29,22,2,0,0,0,0,2
Bantamweight,Alejandro Perez,Johnny Eduardo,fighter1,23,31,1,1,0,0,2,0
Featherweight,Alexander Volkanovski,Brian Ortega,fighter1,214,88,0,2,0,0,0,3
Women's Flyweight,Valentina Shevchenko,Lauren Murphy,fighter1,98,11,3,0,0,0,0,0
Middleweight,Robbie Lawler,Nick Diaz,fighter1,131,150,0,0,0,0,0,0
Heavyweight,Curtis Blaydes,Jairzinho Rozenstruik,fighter1,32,18,3,0,0,0,0,0
Women's Flyweight,Jessica Andrade,Cynthia Calvillo,fighter1,48,27,0,0,0,0,0,0
Bantamweight,Merab Dvalishvili,Marlon Moraes,fighter1,69,29,4,0,0,1,0,0
Lightweight,Dan Hooker,Nasrat Haqparast,fighter1,73,27,3,0,0,0,0,0
Heavyweight,Chris Daukaus,Shamil Abdurakhimov,fighter1,38,23,0,0,2,0,0,0
Women's Flyweight,Taila Santos,Roxanne Modafferi,fighter1,55,18,5,0,1,0,0,0
Lightweight,Jalin Turner,Uros Medic,fighter1,25,6,1,0,0,0,1,0
Middleweight,Nick Maximov,Cody Brundage,fighter1,14,28,4,0,0,0,0,1
Welterweight,Matthew Semelsberger,Martin Sano,fighter1,3,1,0,0,1,0,0,0
Featherweight,Jonathan Pearce,Omar Morales,fighter1,12,12,6,0,0,0,1,0
Light Heavyweight,Anthony Smith,Ryan Spann,fighter1,17,8,0,0,2,0,1,0
Light Heavyweight,Ion Cutelaba,Devin Clark,fighter1,64,23,8,1,1,0,0,0
Women's Flyweight,Ariane da Silva,Mandy Bohm,fighter1,87,36,0,0,2,0,0,0
Lightweight,Arman Tsarukyan,Christos Giagos,fighter1,22,1,0,0,1,0,0,0
Bantamweight,Nate Maness,Tony Gravely,fighter1,31,36,1,1,1,1,0,0
Middleweight,Joaquin Buckley,Antonio Arroyo,fighter1,41,21,1,0,1,0,0,0
Light Heavyweight,Tafon Nchukwi,Mike Rodriguez,fighter1,116,49,3,0,0,0,0,0
Women's Bantamweight,Raquel Pennington,Pannie Kianzad,fighter1,48,50,1,1,0,0,0,0
Lightweight,Rongzhu,Brandon Jenkins,fighter1,86,41,6,0,1,0,0,0
Bantamweight,Montel Jackson,JP Buys,fighter1,25,8,4,1,4,0,1,3
Women's Flyweight,Erin Blanchfield,Sarah Alpar,fighter1,120,41,3,0,0,0,0,0
Welterweight,Carlston Harris,Impa Kasanganay,fighter1,24,6,0,0,1,0,0,0
Bantamweight,Gustavo Lopez,Alatengheili,Draw,44,36,3,0,0,0,1,0
Women's Flyweight,Hannah Goldy,Emily Whitmire,fighter1,10,5,0,2,0,0,1,0
Middleweight,Derek Brunson,Darren Till,fighter1,41,26,3,0,0,0,1,0
Heavyweight,Tom Aspinall,Serghei Spivac,fighter1,16,0,0,0,1,0,0,0
Welterweight,Alex Morono,David Zawada,fighter1,90,86,0,1,0,0,0,0
Light Heavyweight,Khalil Rountree Jr.,Modestas Bukauskas,fighter1,38,23,0,0,1,0,0,0
Lightweight,Paddy Pimblett,Luigi Vendramini,fighter1,47,25,0,1,1,0,0,0
Women's Flyweight,Molly McCann,Ji Yeon Kim,fighter1,127,122,2,0,0,0,0,0
Bantamweight,Jack Shore,Liudvik Sholinian,fighter1,92,19,2,0,0,0,1,0
Catch Weight,Julian Erosa,Charles Jourdain,fighter1,103,85,2,0,0,1,1,0
Middleweight,Marc-Andre Barriault,Dalcha Lungiambula,fighter1,118,85,0,2,0,0,0,0
Featherweight,Giga Chikadze,Edson Barboza,fighter1,60,33,0,0,2,0,2,0
Middleweight,Bryan Battle,Gilbert Urbina,fighter1,46,45,1,2,0,0,1,0
Bantamweight,Ricky Turcios,Brady Hiestand,fighter1,100,66,2,6,1,0,0,0
Welterweight,Daniel Rodriguez,Kevin Lee,fighter1,120,56,0,3,0,0,0,0
Middleweight,Andre Petroski,Micheal Gillmore,fighter1,46,31,4,0,0,0,1,0
Middleweight,Gerald Meerschaert,Makhmud Muradov,fighter1,32,40,3,0,0,0,1,0
Middleweight,Abdul Razak Alhassan,Alessio Di Chirico,fighter1,1,1,0,0,1,0,0,0
Middleweight,Wellington Turman,Sam Alvey,fighter1,69,68,2,0,0,0,0,0
Light Heavyweight,Dustin Jacoby,Darren Stewart,fighter1,37,18,0,2,0,0,0,0
Women's Flyweight,JJ Aldrich,Vanessa Demopoulos,fighter1,93,70,1,0,0,0,0,0
Featherweight,Pat Sabatini,Jamall Emmers,fighter1,1,10,0,0,0,0,2,1
Bantamweight,Mana Martinez,Guido Cannetti,fighter1,79,66,2,0,0,0,0,0
Middleweight,Jared Cannonier,Kelvin Gastelum,fighter1,81,89,0,0,1,0,0,0
Lightweight,Mark Madsen,Clay Guida,fighter1,98,72,0,0,0,0,0,0
Heavyweight,Parker Porter,Chase Sherman,fighter1,149,117,1,0,0,0,0,0
Bantamweight,Saidyokub Kakhramonov,Trevin Jones,fighter1,36,12,2,1,0,0,4,0
Lightweight,Vinc Pichel,Austin Hubbard,fighter1,71,56,0,4,0,0,0,0
Flyweight,Alexandre Pantoja,Brandon Royval,fighter1,22,17,3,1,0,0,2,0
Featherweight,Austin Lingo,Luis Saldana,fighter1,73,77,0,0,1,0,0,0
Bantamweight,Brian Kelleher,Domingo Pilarte,fighter1,28,3,3,0,0,0,2,0
Women's Bantamweight,Josiane Nunes,Bea Malecki,fighter1,52,35,0,0,1,0,0,0
Light Heavyweight,William Knight,Fabio Cherant,fighter1,14,15,0,0,1,0,0,0
Lightweight,Ignacio Bahamondes,Roosevelt Roberts,fighter1,105,55,0,0,1,0,0,0
Welterweight,Ramiz Brahimaj,Sasha Palatnikov,fighter1,1,1,2,0,0,0,1,0
Heavyweight,Ciryl Gane,Derrick Lewis,fighter1,98,16,0,0,0,0,0,0
Bantamweight,Jose Aldo,Pedro Munhoz,fighter1,114,75,0,0,0,0,0,0
Welterweight,Vicente Luque,Michael Chiesa,fighter1,7,4,0,1,0,0,1,2
Women's Strawweight,Tecia Pennington,Angela Hill,fighter1,144,96,1,2,0,0,0,0
Bantamweight,Song Yadong,Casey Kenney,fighter1,116,78,0,1,0,0,0,0
Lightweight,Rafael Fiziev,King Green,fighter1,104,143,0,0,0,0,0,0
Bantamweight,Vince Morales,Drako Rodriguez,fighter1,76,55,1,3,0,0,0,0
Light Heavyweight,Alonzo Menifield,Ed Herman,fighter1,93,41,1,0,0,0,0,0
Women's Strawweight,Jessica Penne,Karolina Kowalkiewicz,fighter1,12,8,1,1,0,0,1,0
Flyweight,Manel Kape,Ode Osbourne,fighter1,19,18,0,0,1,0,0,0
Bantamweight,Miles Johns,Anderson Dos Santos,fighter1,80,32,0,0,1,0,0,0
Women's Flyweight,Melissa Gatto,Victoria Leonardo,fighter1,70,43,1,0,0,0,0,0
Bantamweight,Johnny Munoz,Jamey Simmons,fighter1,14,7,2,0,0,0,3,0
Middleweight,Sean Strickland,Uriah Hall,fighter1,186,107,4,0,0,0,0,0
Women's Strawweight,Cheyanne Vlismas,Gloria de Paula,fighter1,11,5,1,0,1,0,0,0
Welterweight,Jared Gooden,Niklas Stolze,fighter1,14,7,1,0,1,0,0,0
Featherweight,Melsik Baghdasaryan,Collin Anglin,fighter1,44,25,0,1,1,0,0,0
Welterweight,Jason Witt,Bryan Barberena,fighter1,35,50,8,0,1,0,1,0
Lightweight,Chris Gruetzemacher,Rafa Garcia,fighter1,100,72,0,5,0,0,0,1
Featherweight,Danny Chavez,Kai Kamaka,Draw,41,48,1,0,0,0,0,0
Women's Strawweight,Jinh Yu Frey,Ashley Yoder,fighter1,88,91,0,0,0,0,0,0
Flyweight,Zarrukh Adashev,Ryan Benoit,fighter1,78,37,0,0,0,1,1,0
Welterweight,Phil Rowe,Orion Cosce,fighter1,46,22,0,2,1,0,0,0
Bantamweight,TJ Dillashaw,Cory Sandhagen,fighter1,110,128,2,0,0,0,0,1
Bantamweight,Raulian Paiva,Kyler Phillips,fighter1,51,74,2,4,0,1,0,0
Featherweight,Darren Elkins,Darrick Minner,fighter1,20,19,1,2,0,0,0,3
Women's Flyweight,Maycee Barber,Miranda Maverick,fighter1,36,47,1,1,0,0,0,0
Bantamweight,Adrian Yanez,Randy Costa,fighter1,64,69,0,0,1,0,0,0
Middleweight,Brendan Allen,Punahele Soriano,fighter1,94,66,0,0,0,0,0,0
Middleweight,Nassourdine Imavov,Ian Heinisch,fighter1,39,24,1,0,0,0,0,0
Welterweight,Mickey Gall,Jordan Williams,fighter1,11,13,1,1,0,0,2,0
Bantamweight,Julio Arce,Andre Ewell,fighter1,42,31,0,0,0,0,0,0
Women's Flyweight,Sijara Eubanks,Elise Reed,fighter1,22,1,1,0,0,0,0,0
Women's Strawweight,Diana Belbita,Hannah Goldy,fighter1,117,92,0,2,1,0,0,0
Lightweight,Islam Makhachev,Thiago Moises,fighter1,61,13,3,1,0,0,1,1
Women's Bantamweight,Miesha Tate,Marion Reneau,fighter1,65,25,3,0,0,0,0,0
Lightweight,Mateusz Gamrot,Jeremy Stephens,fighter1,1,0,1,0,0,0,1,0
Middleweight,Rodolfo Vieira,Dustin Stoltzfus,fighter1,49,67,3,0,0,0,1,0
Featherweight,Billy Quarantillo,Gabriel Benitez,fighter1,100,57,3,0,1,1,1,1
Welterweight,Daniel Rodriguez,Preston Parsons,fighter1,45,23,0,0,0,0,0,0
Women's Strawweight,Amanda Lemos,Montserrat Conejo Ruiz,fighter1,7,3,0,0,1,0,0,0
Bantamweight,Sergey Morozov,Khalid Taha,fighter1,50,33,6,0,0,0,0,0
Flyweight,Malcolm Gordon,Francisco Figueiredo,fighter1,46,28,2,2,0,0,0,0
Heavyweight,Alan Baudot,Rodrigo Nascimento,No contest,60,49,0,0,0,0,0,0
Lightweight,Dustin Poirier,Conor McGregor,fighter1,36,27,1,0,0,0,0,1
Welterweight,Gilbert Burns,Stephen Thompson,fighter1,29,19,3,0,0,0,0,0
Heavyweight,Tai Tuivasa,Greg Hardy,fighter1,11,6,0,0,1,0,0,0
Women's Bantamweight,Irene Aldana,Yana Santos,fighter1,37,24,0,0,1,0,0,0
Bantamweight,Sean O'Malley,Kris Moutinho,fighter1,230,70,0,0,1,0,0,0
Welterweight,Max Griffin,Carlos Condit,fighter1,93,63,1,0,1,0,0,0
Welterweight,Michel Pereira,Niko Price,fighter1,92,76,3,0,0,0,2,1
Featherweight,Ilia Topuria,Ryan Hall,fighter1,18,10,0,0,0,0,0,0
Middleweight,Dricus Du Plessis,Trevin Giles,fighter1,25,10,2,0,1,0,0,0
Women's Flyweight,Jennifer Maia,Jessica Eye,fighter1,98,100,0,2,0,0,0,0
Middleweight,Brad Tavares,Omari Akhmedov,fighter1,84,48,0,2,1,0,0,0
Flyweight,Zhalgas Zhumagulov,Jerome Rivera,fighter1,10,11,0,0,0,0,1,0
Heavyweight,Ciryl Gane,Alexander Volkov,fighter1,135,115,0,0,0,0,0,0
Heavyweight,Tanner Boser,Ovince Saint Preux,fighter1,33,9,0,1,1,0,0,0
Bantamweight,Timur Valiev,Raoni Barcelos,fighter1,77,69,0,0,0,2,0,0
Featherweight,Andre Fili,Daniel Pineda,No contest,34,15,1,0,0,0,0,0
Welterweight,Tim Means,Nicolas Dalby,fighter1,53,54,1,0,0,0,0,0
Lightweight,Renato Moicano,Jai Herbert,fighter1,26,7,5,0,0,0,1,0
Light Heavyweight,Kennedy Nzechukwu,Danilo Marques,fighter1,31,10,0,2,0,0,0,0
Welterweight,Shavkat Rakhmonov,Michel Prazeres,fighter1,21,6,1,0,0,0,1,0
Welterweight,Jeremiah Wells,Warlley Alves,fighter1,21,15,0,0,1,0,0,1
Light Heavyweight,Marcin Prachnio,Ike Villanueva,fighter1,59,34,0,1,1,0,0,0
Women's Bantamweight,Julia Avila,Julija Stoliarenko,fighter1,48,40,1,1,0,0,1,0
Featherweight,Charles Rosa,Justin Jaynes,fighter1,51,44,2,2,0,0,2,2
Lightweight,Damir Hadzovic,Yancy Medeiros,fighter1,121,103,2,2,0,0,0,2
Featherweight,Chan Sung Jung,Dan Ige,fighter1,92,80,3,0,0,0,3,0
Heavyweight,Serghei Spivac,Aleksei Oleinik,fighter1,71,59,0,1,0,0,0,1
Bantamweight,Marlon Vera,Davey Grant,fighter1,105,83,2,1,0,0,3,0
Featherweight,SeungWoo Choi,Julian Erosa,fighter1,13,10,0,0,1,0,0,0
Middleweight,Bruno Silva,Wellington Turman,fighter1,19,1,0,0,0,0,0,0
Welterweight,Matt Brown,Dhiego Lima,fighter1,27,23,0,0,1,0,0,0
Light Heavyweight,Nicolae Negumereanu,Aleksa Camur,fighter1,71,102,1,0,0,0,0,0
Women's Strawweight,Virna Jandiroba,Kanako Murata,fighter1,36,23,0,0,0,0,1,0
Welterweight,Khaos Williams,Matthew Semelsberger,fighter1,91,64,0,0,0,0,0,0
Heavyweight,Josh Parisian,Roque Martinez,fighter1,79,64,1,0,0,0,0,1
Lightweight,Ricky Glenn,Joaquim Silva,fighter1,10,1,0,0,2,0,0,0
Women's Flyweight,Casey O'Neill,Lara Procopio,fighter1,71,41,1,2,0,0,2,0
Middleweight,Israel Adesanya,Marvin Vettori,fighter1,96,58,0,4,0,0,0,0
Flyweight,Brandon Moreno,Deiveson Figueiredo,fighter1,47,24,2,1,1,0,2,0
Welterweight,Leon Edwards,Nate Diaz,fighter1,77,76,4,0,0,0,0,0
Welterweight,Belal Muhammad,Demian Maia,fighter1,45,21,0,1,0,0,0,0
Light Heavyweight,Paul Craig,Jamahal Hill,fighter1,23,1,0,0,0,0,3,0
Lightweight,Brad Riddell,Drew Dober,fighter1,89,73,5,1,0,0,0,0
Light Heavyweight,Eryk Anders,Darren Stewart,fighter1,44,33,0,2,0,0,0,0
Women's Flyweight,Lauren Murphy,Joanne Wood,fighter1,80,123,1,0,0,0,0,0
Featherweight,Movsar Evloev,Hakeem Dawodu,fighter1,42,39,9,0,0,0,2,0
Women's Bantamweight,Pannie Kianzad,Alexis Davis,fighter1,124,132,0,1,0,0,0,0
Lightweight,Terrance McKinney,Matt Frevola,fighter1,4,0,0,0,1,0,0,0
Featherweight,Steven Peterson,Chase Hooper,fighter1,49,31,1,3,0,0,2,2
Lightweight,Fares Ziam,Luigi Vendramini,fighter1,39,34,0,1,0,0,0,0
Heavyweight,Carlos Felipe,Jake Collier,fighter1,94,130,0,0,0,0,0,0
Heavyweight,Jairzinho Rozenstruik,Augusto Sakai,fighter1,16,3,0,0,1,0,0,0
Heavyweight,Marcin Tybura,Walt Harris,fighter1,4,23,1,0,0,0,0,0
Middleweight,Roman Dolidze,Laureano Staropoli,fighter1,14,9,5,3,0,0,0,0
Welterweight,Santiago Ponzinibbio,Miguel Baeza,fighter1,121,104,0,0,0,0,0,0
Middleweight,Gregory Rodrigues,Dusko Todorovic,fighter1,71,37,3,0,0,0,0,0
Women's Flyweight,Montana De La Rosa,Ariane da Silva,fighter1,29,11,2,0,0,0,0,0
Heavyweight,Ilir Latifi,Tanner Boser,fighter1,10,45,2,0,0,0,0,0
Welterweight,Muslim Salikhov,Francisco Trinaldo,fighter1,62,39,2,0,1,0,0,0
Featherweight,Kamuela Kirk,Makwan Amirkhani,fighter1,28,20,0,5,0,0,3,0
Lightweight,Alan Patrick,Mason Jones,No contest,10,46,0,2,0,0,0,0
Women's Flyweight,Manon Fiorot,Tabatha Ricci,fighter1,84,17,1,0,1,0,0,0
Featherweight,Sean Woodson,Youssef Zalal,fighter1,40,42,0,2,0,0,2,0
Lightweight,Claudio Puelles,Jordan Leavitt,fighter1,20,21,4,2,0,0,0,0
Bantamweight,Rob Font,Cody Garbrandt,fighter1,176,63,2,3,0,0,0,0
Women's Strawweight,Carla Esparza,Yan Xiaonan,fighter1,27,5,3,0,0,0,0,0
Heavyweight,Jared Vanderaa,Justin Tafa,fighter1,121,74,0,0,0,0,0,0
Women's Featherweight,Norma Dumont,Felicia Spencer,fighter1,68,47,1,0,0,0,0,0
Featherweight,Ricardo Ramos,Bill Algeo,fighter1,53,76,8,0,0,0,1,0
Middleweight,Jack Hermansson,Edmen Shahbazyan,fighter1,55,40,3,0,0,0,0,1
Heavyweight,Ben Rothwell,Chris Barnett,fighter1,60,33,1,0,0,0,2,0
Welterweight,Court McGee,Claudio Silva,fighter1,37,21,3,1,0,0,1,0
Flyweight,Bruno Silva,Victor Rodriguez,fighter1,6,0,0,0,1,0,0,0
Featherweight,Josh Culibao,Shayilan Nuerdanbieke,fighter1,53,17,0,2,0,0,1,0
Flyweight,David Dvorak,Juancamilo Ronderos,fighter1,9,11,0,0,0,0,1,0
Lightweight,Damir Ismagulov,Rafael Alves,fighter1,56,30,2,0,0,1,0,1
Lightweight,Charles Oliveira,Michael Chandler,fighter1,24,30,1,0,2,0,0,1
Lightweight,Beneil Dariush,Tony Ferguson,fighter1,23,15,3,0,0,0,1,1
Bantamweight,Matt Schnell,Rogerio Bontorin,No contest,65,72,0,1,0,0,0,0
Women's Flyweight,Katlyn Cerminara,Viviane Araujo,fighter1,127,89,0,1,0,0,0,1
Featherweight,Edson Barboza,Shane Burgos,fighter1,98,80,0,0,1,0,0,0
Middleweight,Andre Muniz,Jacare Souza,fighter1,7,11,2,1,0,0,1,0
Featherweight,Lando Vannata,Mike Grundy,fighter1,80,32,1,3,0,0,0,0
Middleweight,Jordan Wright,Jamie Pickett,fighter1,26,4,0,0,1,0,0,0
Women's Flyweight,Andrea Lee,Antonina Shevchenko,fighter1,45,23,3,0,0,0,3,0
Women's Flyweight,Priscila Cachoeira,Gina Mazany,fighter1,36,33,0,4,0,0,0,0
Featherweight,Tucker Lutz,Kevin Aguilar,fighter1,99,81,3,0,0,0,0,0
Lightweight,Christos Giagos,Sean Soriano,fighter1,22,33,3,0,0,0,1,0
Women's Flyweight,Marina Rodriguez,Michelle Waterson-Gomez,fighter1,125,88,0,1,0,0,0,0
Welterweight,Alex Morono,Donald Cerrone,fighter1,35,17,0,0,0,0,0,0
Welterweight,Neil Magny,Geoff Neal,fighter1,55,35,2,1,0,0,0,0
Heavyweight,Marcos Rogerio de Lima,Maurice Greene,fighter1,14,5,3,0,0,0,0,0
Lightweight,Gregor Gillespie,Diego Ferreira,fighter1,45,31,4,0,0,0,0,0
Middleweight,Phil Hawes,Kyle Daukaus,fighter1,66,28,2,0,0,0,1,0
Featherweight,Michael Trizano,Ludovit Klein,fighter1,56,45,0,4,0,0,1,0
Middleweight,JunYong Park,Tafon Nchukwi,fighter1,71,58,2,1,0,0,2,0
Welterweight,Carlston Harris,Christian Aguilera,fighter1,5,1,0,0,0,0,1,0
Light Heavyweight,Jiri Prochazka,Dominick Reyes,fighter1,77,63,1,1,1,0,0,1
Featherweight,Giga Chikadze,Cub Swanson,fighter1,12,4,0,0,1,0,0,0
Light Heavyweight,Ion Cutelaba,Dustin Jacoby,Draw,71,84,9,1,0,0,0,0
Middleweight,Sean Strickland,Krzysztof Jotko,fighter1,84,37,0,0,0,0,0,0
Bantamweight,Merab Dvalishvili,Cody Stamann,fighter1,71,48,5,1,0,0,1,0
Women's Strawweight,Luana Pinheiro,Randa Markos,fighter1,29,18,5,0,0,0,0,0
Featherweight,TJ Brown,Kai Kamaka,fighter1,82,61,2,1,0,1,1,0
Women's Flyweight,Luana Carolina,Poliana Botelho,fighter1,25,34,0,1,0,0,0,0
Women's Strawweight,Loma Lookboonmee,Sam Hughes,fighter1,84,49,4,0,0,0,0,0
Middleweight,Andreas Michailidis,KB Bhullar,fighter1,73,70,1,0,0,0,0,0
Featherweight,Felipe Colares,Luke Sanders,fighter1,78,118,2,2,0,1,0,0
Welterweight,Kamaru Usman,Jorge Masvidal,fighter1,21,31,2,0,1,0,0,0
Women's Strawweight,Rose Namajunas,Zhang Weili,fighter1,5,7,0,0,1,0,0,0
Women's Flyweight,Valentina Shevchenko,Jessica Andrade,fighter1,32,10,7,0,0,0,1,0
Middleweight,Uriah Hall,Chris Weidman,fighter1,0,1,0,0,0,0,0,0
Light Heavyweight,Anthony Smith,Jimmy Crute,fighter1,26,18,0,3,0,0,0,0
Welterweight,Randy Brown,Alex Oliveira,fighter1,16,7,0,0,1,0,1,0
Welterweight,Dwight Grant,Stefan Sekulic,fighter1,49,33,1,3,0,0,0,1
Middleweight,Brendan Allen,Karl Roberson,fighter1,9,6,2,0,0,0,1,0
Featherweight,Pat Sabatini,Tristan Connelly,fighter1,26,19,1,1,1,0,1,0
Bantamweight,Batgerel Danaa,Kevin Natividad,fighter1,7,3,0,0,1,0,0,0
Lightweight,Kazula Vargas,Rongzhu,fighter1,96,42,0,3,0,0,1,0
Flyweight,Jeff Molina,Aoriqileng,fighter1,189,116,0,3,2,0,0,0
Women's Strawweight,Ariane Carnelossi,Liang Na,fighter1,24,19,0,3,0,0,0,1
Middleweight,Robert Whittaker,Kelvin Gastelum,fighter1,150,62,4,1,0,0,0,0
Heavyweight,Andrei Arlovski,Chase Sherman,fighter1,105,88,0,0,0,0,0,0
Middleweight,Jacob Malkoun,Abdul Razak Alhassan,fighter1,27,21,8,0,0,0,2,0
Women's Flyweight,Tracy Cortez,Justine Kish,fighter1,66,55,3,0,0,1,1,0
Lightweight,Luis Pena,Alexander Munoz,fighter1,90,80,0,4,0,0,0,0
Heavyweight,Alexandr Romanov,Juan Espino,fighter1,32,12,2,4,0,0,0,0
Women's Strawweight,Jessica Penne,Loopy Godinez,fighter1,31,40,1,3,0,0,0,0
Middleweight,Gerald Meerschaert,Bartosz Fabinski,fighter1,8,6,0,1,0,0,1,0
Lightweight,Austin Hubbard,Dakota Bush,fighter1,67,41,1,1,0,0,0,0
Bantamweight,Tony Gravely,Anthony Birchak,fighter1,39,18,4,0,2,0,0,1
Middleweight,Marvin Vettori,Kevin Holland,fighter1,24,37,11,0,0,0,1,0
Featherweight,Arnold Allen,Sodiq Yusuff,fighter1,21,47,2,0,1,0,0,1
Middleweight,Julian Marquez,Sam Alvey,fighter1,61,29,0,0,1,0,1,0
Women's Strawweight,Mackenzie Dern,Nina Nunes,fighter1,12,4,1,0,0,0,1,0
Welterweight,Daniel Rodriguez,Mike Perry,fighter1,129,61,0,2,0,0,0,0
Lightweight,Joe Solecki,Jim Miller,fighter1,19,11,1,0,0,0,0,0
